x,y,c,w,h,r,alpha,type
216.0,101.385216,-4584058,16.687645,20.0,1.5515096,221.80269,0
76.158844,33.202587,-11400138,20.0,20.0,4.767181,97.65418,0
4.736826,19.512814,-14996111,20.0,20.0,6.0158668,182.08809,1
39.923542,13.501803,-11892889,17.009863,20.0,4.8935432,133.20071,0
101.24676,57.866104,-12314997,19.905922,18.241528,5.405116,73.22438,0
20.342976,37.00802,-11175079,18.23075,4.78461,1.4854195,254.01146,1
115.17994,0.0,-14399647,18.476698,19.13904,1.2097955,140.32693,0
47.860878,28.776741,-15269015,20.0,20.0,1.748374,235.93483,0
55.27275,58.683598,-12893377,18.062,20.0,6.1287656,207.19037,1
54.394245,115.95524,-15449344,13.861559,20.0,2.4017658,85.34523,0
159.21762,111.133835,-6648125,16.66472,8.160706,6.2831855,238.85114,0
89.76202,0.0,-16049862,20.0,20.0,0.0,172.34862,0
7.4917436,110.80455,-16776695,20.0,14.821191,0.0,156.47261,1
66.364296,114.69959,-15388087,20.0,20.0,3.0183249,236.66125,0
79.64467,19.813679,-14705583,19.983738,20.0,4.298425,218.98424,0
38.52387,71.12248,-14404020,19.209642,20.0,2.1253006,235.7626,0
49.59884,51.7797,-13417118,20.0,19.28748,3.4461546,201.66884,1
80.72676,20.960642,-13297051,20.0,20.0,4.1849957,148.47823,0
118.50301,48.75003,-12098546,19.779388,19.340197,1.8948975,211.66792,0
44.321575,13.122879,-14200445,20.0,20.0,5.1215496,163.16928,0
195.90767,36.634007,-9078898,20.0,20.0,3.781476,110.98121,0
94.081,95.14877,-16625408,12.760244,20.0,0.0,137.24872,0
43.486187,30.121088,-10039748,18.538702,20.0,1.7379918,79.783066,0
175.6548,110.0301,-6731758,20.0,18.12018,2.577286,119.93087,0
65.86103,62.440605,-6126311,20.0,16.644451,4.1661215,164.93823,0
146.00433,54.060734,-7724275,14.963275,20.0,5.347344,83.94292,0
120.79054,104.87122,-11557875,20.0,19.405216,2.7760196,232.01248,0
68.349556,78.86855,-14803155,20.0,17.979277,0.96119255,237.29102,0
177.11267,104.99746,-16700049,14.5849495,19.091194,0.0,100.50273,0
54.197723,12.282016,-15129545,20.0,16.611794,0.9728061,194.9215,0
167.85812,69.20711,-11563910,18.968578,9.437658,0.98985183,183.49814,0
132.6795,83.46724,-10510014,12.505074,9.365283,4.305136,222.25366,0
98.64962,98.60149,-3915189,20.0,19.182772,5.40744,132.38808,0
194.04909,95.432274,-12299977,20.0,20.0,1.7517688,154.68948,0
33.995544,111.24428,-16773367,20.0,9.028476,0.0,141.55545,0
170.3459,85.14042,-15913981,20.0,20.0,5.5447073,70.39637,0
82.42012,50.43612,-5978847,20.0,20.0,6.2831855,148.36629,0
166.06221,41.97034,-16220790,20.0,17.960514,4.86412,127.66858,0
148.80879,113.32224,-4497274,12.651114,11.332359,6.2831855,189.37408,1
197.19632,69.25584,-8804714,10.309706,9.167179,4.6203437,179.89005,0
135.1222,113.46436,-16768859,20.0,19.621672,4.378145,29.407988,0
157.863,20.452847,-1949504,9.4330635,17.006636,3.877393,78.48808,1
32.849697,2.8522675,-16249226,20.0,20.0,6.2831855,158.01535,1
99.4514,60.016785,-16299455,17.358614,20.0,4.5908265,196.12999,0
113.906456,0.0,-14933965,19.972921,16.836283,1.659658,158.09906,0
145.39989,46.41947,-5932451,20.0,20.0,1.4739801,122.54004,0
20.344278,40.92606,-12041153,20.0,15.866026,3.9649763,168.57552,1
208.34695,35.503834,-14545628,16.945807,12.677828,3.4578896,70.6148,0
60.738907,114.8228,-16775416,18.40201,13.367117,2.534625,183.85558,1
136.22723,116.0,-9345207,20.0,17.775038,2.7689433,225.26488,0
205.34558,62.14285,-12561527,20.0,20.0,1.8348662,230.57494,0
170.51923,97.49896,-13261723,14.702591,14.96385,2.7654285,107.455154,0
79.54927,104.98099,-15790842,20.0,20.0,4.790904,191.83028,0
8.182643,98.68368,-14862515,18.124409,20.0,2.4649658,196.75002,1
182.38702,39.013824,-13205115,20.0,20.0,4.858158,134.45308,0
22.901161,90.78497,-13934776,20.0,20.0,6.0176997,167.43152,1
128.2347,82.56528,-2636181,19.289316,20.0,1.3306576,175.79034,1
46.07459,74.37324,-10145724,20.0,20.0,5.4345655,247.06279,0
32.67479,68.26072,-5618079,0.0,0.93070054,0.7656548,129.72107,1
16.725735,97.23975,-16572885,20.0,20.0,0.04656605,225.99141,0
98.33784,99.07517,-5108963,9.169378,20.0,6.2831855,184.43643,0
94.294205,11.425309,-15788010,0.24144442,8.958197,3.569311,180.9347,0
78.14148,13.941799,-13614508,18.990892,20.0,1.7313321,148.11086,0
51.43838,15.407474,-12492704,17.815748,19.542574,1.7793845,191.78954,0
132.57219,11.425631,-16640990,13.086924,8.896555,4.120502,127.59446,0
19.231142,44.45932,-14087863,19.712133,20.0,2.8095133,173.99245,0
153.3926,48.004707,-4675466,19.926899,18.639784,1.0517843,144.7099,1
207.91766,110.35216,-16443899,17.386032,14.561903,4.953521,21.734396,1
