0,1,2,3,4,5,6
0.0,1.0,2.0,3.0,4.0,5.38426,6.0
0.0,1.0,0.0,6.919378,1.0,4.914484,6.0
0.0,0.0,1.3428352E8,1.0,10.500045,5.0,6.0
0.0,1.0,2.0,3.0,4.0,5.0,1.0
6.3146305,0.0,8.388608E7,3.3526244,5.4062967,5.0,6.0
0.0,1.0,5.033242E7,5.76213,10.6810055,6.2831855,1.0
0.0,1.0,2.0,3.0,4.0,5.0,6.0
0.0,1.0,2.0,3.0,4.0,5.732793,6.0
0.15082496,0.9813436,2.0,1.0,4.2365913,5.0,6.0
1.7613448,0.0,8.38866E7,4.5820193,1.0,5.297821,6.0
0.0,11.301317,132102.0,3.0014596,5.1725397,5.0282784,6.0
0.0,0.0,1536.0,4.8669357,1.0,1.8558888,0.0
0.0,3.974722,65536.0,1.0,5.1936607,6.2831855,0.0
0.0,0.0,1048581.0,1.3996997,6.9101305,3.8664455,1.0
0.0,1.0,8.4017152E7,14.386172,12.397494,6.2831855,0.0
0.0,3.5880268,131078.0,9.808842,1.0,4.078243,1.0
3.8787236,3.5396245,2053.0,1.0,2.8208594,5.6383095,1.0
51.97629,124.138824,-8.2119674E8,14.100204,13.373329,5.892269,0.0
68.59927,25.41758,-5.6632685E8,14.23543,15.0,4.876397,0.0
109.70131,70.44759,-2.09152282E9,15.0,12.232696,4.283638,0.0
100.45765,121.03141,-7.7171622E8,15.0,15.0,1.0627975,0.0
88.4697,109.28887,-7.4349338E8,14.492075,15.0,6.2831855,0.0
134.91458,96.99392,1.61162688E9,15.0,15.0,4.6848736,0.0
105.60445,52.073284,-5.23080384E8,14.841105,13.676261,3.1731656,1.0
43.126255,27.729904,-1.89244992E9,7.976789,15.0,3.3655605,1.0
49.841175,130.80684,-5.5079085E8,11.270031,15.0,5.2087245,1.0
29.201597,94.738594,-7.5891482E8,15.0,1.1857991,6.2831855,1.0
54.268364,117.290665,-1.50001824E8,15.0,15.0,5.3423567,0.0
78.11597,119.74768,-1.29034995E9,13.611872,13.602322,5.386324,1.0
75.64986,128.56587,-8.1695008E7,10.692977,11.461369,5.7693048,0.0
98.443306,110.8158,-5.01284736E8,13.818537,15.0,0.19029282,0.0
105.70246,58.123158,-1.39440691E9,14.2106495,15.0,0.6785245,0.0
49.197468,32.08851,-1.99529344E9,15.0,15.0,4.403811,0.0
40.667004,141.97925,-1.5458984E8,8.307164,14.976412,3.4098868,0.0
59.275803,93.19196,-1.14733056E9,15.0,14.482153,3.9715247,0.0
48.905758,74.02612,-1.03787546E9,14.551531,15.0,3.9370651,0.0
127.74059,123.99982,-2.49364256E8,14.295276,15.0,0.0,0.0
0.0,76.62029,1.6953847E9,15.0,12.521363,6.22063,0.0
56.064,96.289154,-1.50679718E9,15.0,15.0,1.7689159,0.0
90.51531,121.23472,-1.63623014E9,14.956855,15.0,2.9492383,0.0
98.05522,49.099213,-2.04266099E9,14.193251,14.418294,6.2831855,0.0
76.74214,24.676422,1.25062477E9,14.917325,13.730792,0.0,0.0
86.42858,40.83512,1.39438515E9,11.554938,9.640266,1.436239,0.0
38.934452,65.640144,2.09236928E9,12.672215,13.993684,0.10573889,1.0
37.262356,144.41232,-8.8048019E8,15.0,13.140939,6.2831855,0.0
99.8605,57.279575,-8.1155981E8,11.876836,15.0,1.0327802,0.0
47.747795,34.347984,-7.5785712E7,13.266893,15.0,0.74618816,0.0
82.85653,84.49225,6.7188032E8,8.142981,8.923712,0.25610983,1.0
137.8494,77.11339,1.00696282E9,15.0,15.0,3.1828027,0.0
37.25174,127.42074,-4.46263488E8,15.0,15.0,3.0083122,1.0
116.815094,97.46413,-1.10643891E9,15.0,15.0,0.0,0.0
109.55693,88.77528,-3.56319104E8,15.0,14.158482,1.94135,0.0
28.71502,129.5866,-6.5201677E8,15.0,15.0,3.882828,1.0
6.334899,77.826706,-1.86213978E9,12.157727,14.189599,4.435707,0.0
141.8688,55.814682,-1.03689939E9,2.5592208,8.141644,0.7447914,1.0
98.20684,128.41302,2.04217395E9,12.74572,11.57814,6.2831855,0.0
49.451122,80.88693,-5.9060992E8,15.0,15.0,5.917676,1.0
121.019104,131.80376,-1.38836032E9,15.0,12.362603,6.2831855,1.0
33.794056,111.91755,-5.6482368E8,14.870725,15.0,2.56506,0.0
130.50212,88.9531,1.57760717E9,9.987797,8.061206,6.2831855,1.0
78.43542,138.7243,-9.8903654E8,15.0,15.0,4.7852664,0.0
77.40157,125.83825,1.64584243E9,9.929733,9.9103155,6.2831855,1.0
33.913834,103.604294,-2.67320096E8,11.36488,15.0,0.0,0.0
124.61408,84.215355,-1.61023603E9,15.0,15.0,1.601512,0.0
53.059765,34.924217,-1.37269888E9,13.059939,15.0,0.32873327,1.0
33.994152,5.8705378,-1.3789591E9,14.035979,15.0,6.2831855,1.0
18.282774,90.534996,-1.06170042E9,12.869352,15.0,1.5325403,1.0
143.78549,131.5788,-7.806583E8,14.885384,10.614258,0.0,1.0
71.61852,19.227755,-1.38617613E9,12.669206,13.880923,2.8385892,0.0
150.0,128.9538,-6.1406106E8,14.445229,15.0,3.2303271,0.0
144.91835,110.33313,-5.6292723E8,14.953081,11.914755,5.1155357,0.0
90.378006,22.024837,-2.12021798E9,15.0,13.391836,0.7167311,1.0
31.533237,149.02716,-1.07868518E9,15.0,15.0,5.16961,1.0
142.62976,148.41629,-7.0994726E8,15.0,13.121637,4.1990485,0.0
134.25446,78.32107,-8.2619949E8,1.0,14.111595,4.716374,1.0
125.60142,89.63985,-1.23061658E9,15.0,9.65849,5.1256185,1.0
84.186485,35.744274,-1.04891226E9,15.0,15.0,4.861456,0.0
140.64348,50.328964,-1.72526554E9,9.137786,11.483717,0.65852046,0.0
34.69247,143.44661,1.38301286E9,15.0,15.0,2.3729308,0.0
78.25296,103.21579,-1.24149606E9,12.34814,15.0,2.1543221,0.0
11.447794,106.650826,1.48906291E9,10.059244,14.056396,5.0987034,0.0
36.31871,150.0,-1.6874496E9,13.625564,6.4157367,3.7738323,0.0
33.039864,17.893242,-2.03440832E9,15.0,15.0,5.3031373,0.0
45.152714,98.738686,-1.5850368E9,13.329884,14.3483095,4.4993234,0.0
103.70626,41.33175,-7.9837792E8,14.049568,15.0,0.0,1.0
127.9992,118.743645,1.02961203E9,12.688412,11.920027,0.987646,0.0
107.98705,132.97478,-1.50201504E8,15.0,15.0,6.136016,1.0
36.809437,120.38679,-4.00005504E8,15.0,15.0,5.482964,0.0
115.40546,85.82058,-5.10312832E8,11.8632145,15.0,0.046340823,1.0
86.66477,68.66534,-1.63384384E9,12.495112,11.874357,1.2794161,0.0
34.927483,24.245138,-1.75124595E9,9.731533,8.208349,6.2831855,1.0
55.615543,52.631954,-1.86724518E9,11.0286,12.691456,0.0,0.0
117.57599,106.54745,6.5556973E8,6.879846,9.319576,3.4842856,0.0
79.136856,91.28496,8.089399E8,15.0,12.5468645,0.0,1.0
115.70478,117.40545,-1.340192E9,15.0,15.0,5.840014,0.0
113.65099,86.44161,1.8355543E9,12.248579,11.7074375,4.51105,0.0
71.39636,24.96907,1.87593101E9,15.0,15.0,1.9504848,0.0
95.365685,76.41538,-1.83273613E9,13.509909,15.0,3.5786357,1.0
34.24731,110.27965,9.2550771E8,15.0,10.507392,0.37324607,0.0
7.4726653,150.0,1.81057242E9,15.0,10.690869,4.9097037,0.0
66.379555,87.56127,-1.10086797E9,14.765682,12.676188,3.210274,1.0
