0,1,2,3
0.0,0.576507,2.0,3.0
0.0,1.0,1.0,2.3898695
0.48068023,1.0,131074.0,2.9217603
0.0,1.2076691,131074.0,2.862423
1.5087109,1.0,65539.0,2.4026856
0.0,1.2026317,770.0,3.5839138
0.38088337,2.4179087,0.0,4.3178034
1.0791796,3.684803,3.368576E7,1.70754
0.32400468,1.1847944,768.0,2.0710366
1.325438,1.6150404,131584.0,3.1510444
3.4841056,1.3832297,1.6777472E7,1.8817277
0.0,2.2467914,394000.0,3.5297382
3.914949,0.2348299,3.3554688E7,7.343085
1.6133603,0.0,1.00663296E8,3.6203113
3.3551714,5.5169826,1.6846084E7,6.844841
3.910283,0.0,2.0,31.406942
5.974597,19.272907,2.0,15.796952
30.76808,76.285805,3.0,50.81603
118.19363,432.6285,-6.9609056E8,490.8431
339.08704,443.62793,-1.32898032E8,407.32507
439.8197,261.52612,-1.85449818E9,452.4174
45.458637,185.80609,-9.5581082E8,434.96042
172.9942,322.2151,-9.2227046E8,498.28204
270.0728,311.225,-5.89824E7,385.7427
378.9903,499.9522,-7.8540666E8,438.99405
1.0194824,128.85526,5.5278906E8,495.53656
252.03099,190.99951,-5.0623024E7,102.91558
500.0,39.76421,-2.12779341E9,245.94511
450.28134,426.87952,8.3265184E8,265.42114
187.99011,58.01809,1.84547315E9,407.64233
209.42308,444.4698,-1.94376678E9,165.72118
393.91727,256.61725,1.15789158E9,237.60304
67.218475,170.60318,-1.9146839E9,198.68109
292.773,237.95447,7.3000576E8,324.50217
12.175269,128.9788,1.81255808E9,123.06264
320.17752,482.75415,1.02461958E9,372.0749
155.26701,431.5933,-1.11688845E9,78.2506
149.35266,260.19388,-2.62144E7,174.70142
393.5821,397.7631,-1.9043721E9,118.9169
220.37561,18.253838,6.8783123E8,364.6325
283.3685,76.95745,2.1452553E9,223.51263
380.58713,180.24277,1.62725901E9,148.47513
300.17657,30.66705,9.7955373E8,182.55652
14.529485,228.86795,-9.20032E8,89.2719
246.52719,259.45255,-1.84759091E9,140.23454
325.2986,1.815092,-1.400192E7,49.303123
461.1373,71.47979,-1.64020813E9,90.08414
110.89001,18.9521,1.53380109E9,156.51932
95.57077,471.73148,4.25907168E8,151.83072
150.20403,435.69223,8.500425E8,85.932014
55.864063,57.66505,-2.67432384E8,46.04948
494.5265,278.47653,6.040231E8,126.913055
185.84502,0.0,-1.68825293E9,130.15222
249.43246,275.21844,-9.952297E8,116.52738
317.08713,302.3293,1.29191117E9,107.14352
92.51183,142.268,-6401.0,66.565735
58.801056,215.88089,-1.6863272E7,54.65342
76.63976,399.33475,1.18599411E9,52.684315
90.442215,315.86224,-1.25889024E9,31.51857
91.618385,325.9678,-3.7121728E8,35.59419
471.01505,198.46936,1.03684397E9,51.7312
9.068493,414.0499,1.28987213E9,38.85101
112.59526,250.1722,-2.11766477E9,115.326675
114.25119,19.98276,-1.50507891E9,101.9738
0.63051105,296.0268,-2.07352691E9,74.92698
103.03752,350.38385,1.94609242E9,53.43627
100.4343,173.81685,-1.8623305E9,98.05669
67.38228,407.86548,1.33322163E9,87.61989
3.6825635,273.2741,-1.38191629E9,21.665398
70.45955,0.0,9.6521248E8,245.65202
332.05292,445.72275,8.9533242E8,243.12328
373.093,463.8801,5.31996256E8,259.52954
485.08176,51.684864,-1.04478106E9,62.97189
371.48978,199.88696,4.3555232E8,169.26236
24.234243,439.70868,1.8162711E9,40.843967
469.60483,242.52594,-4.527744E8,32.633858
465.381,284.40158,1.1728311E9,75.41844
230.54445,217.0709,5.19963488E8,166.13196
373.94128,374.28653,4.02704672E8,185.05646
164.82384,104.6208,-1.30863603E9,97.13934
112.03632,414.41626,-1.85824026E9,39.653683
41.46935,384.88266,3.48175104E8,105.148476
